Title,Publisher,"Field of Research",Rating,ISSN,"ISSN Online",Website
"Review of Accounting and Finance","Emerald Group Publishing",3501,B,1475-7702,1758-7700,
"Review of Accounting Studies","Springer International Publishing",3501,A*,1380-6653,1573-7136,http://www.springer.com/business+%26+management/accounting/journal/11142?detailsPage=editorialBoard
"Review of African Political Economy","Taylor & Francis Online",3801,C,0305-6244,1740-1720,
"Review of Asset Pricing Studies","Oxford University Press",3502,A*,2045-9920,2045-9939,
"Review of Behavioral Economics","Now Publishers",3801,B,2326-6198,2326-6201,
"Review of Behavioral Finance","Emerald Group Publishing Limited",3502,B,1940-5979,1940-5987,
"Review of Business Information Systems","The Clute Institute",4609,C,,2157-9547‎,
"Review of Corporate Finance Studies","Oxford University Press",3502,A*,2046-9128,2046-9136,
"Review of Derivatives Research","Springer International Publishing",3502,B,1380-6645,1573-7144,http://springerlink.metapress.com/
"Review of Development Economics","Wiley-Blackwell Publishing",3801,B,1363-6669,1467-9361,
"Review of Economic Analysis","Digital Initiatives at the University of Waterloo Library",3801,B,1973-3909,,http://www.rofea.org/index.php
"Review of Economic and Business Studies",Sciendo,3801,C,1843-763X,2068-7249,
"Review of Economic Design","Springer International Publishing",3801,B,1434-4742,1434-4750,http://www.springerlink.com/content/101179/
"Review of Economic Dynamics",Elsevier,3801,A*,1094-2025,1096-6099,http://www.journals.elsevier.com/review-of-economic-dynamics
"Review of Economics (Jahrbuch fur Wirtschaftswissenschaften)","De Gruyter ",3801,C,,2366-035X,
"Review of Economics of the Household","Springer International Publishing",3801,A,1569-5239,1573-7152,
"Review of Environmental Economics and Policy","Oxford University Press",3801,A,1750-6816,1750-6824,http://reep.oxfordjournals.org/
"Review of Finance","Oxford University Press",3502,A*,1572-3097,1573-692X,
"Review of Financial Economics","Wiley-Blackwell Publishing",3502,B,1058-3300,1873-5924,
"Review of Futures Markets","Kent State University, Ohio",3502,B,1933-7116,,
"Review of Income and Wealth","Wiley-Blackwell Publishing",3801,A,,1475-4991,
"Review of Industrial Organization","Springer International Publishing",3801,A,0889-938X,1573-7160,http://www.springerlink.com/
"Review of International Business and Strategy","Emerald Group Publishing",3507,C,2059-6014,,
"Review of International Economics","Wiley-Blackwell Publishing",3801,A,0965-7576,1467-9396,
"Review of International Organizations","Springer International Publishing",3507,C,1559-7431,1559-744X,http://www.springerlink.com/content/1559-7431
"Review of International Political Economy","Taylor & Francis Online",3801,A,0969-2290,1466-4526,http://www.tandfonline.com/rrip
"Review of International Studies","Cambridge University Press",3599,B,0260-2105,1469-9044,http://journals.cambridge.org/
"Review of Islamic Economics","International Association of Islamic Economics and the Islamic Foundation",3801,C,0962-2055,,http://www.islamic-foundation.org.uk/User/Journals.aspx?id=21
"Review of Keynesian Economics","Edward Elgar Publishing",3801,C,2049-5323,2049-5331,
"Review of Law & Economics","De Gruyter",3801,B,2194-6000,1555-5879,
"Review of Marketing and Agricultural Economics","Australian Agricultural Economics Society",3899,C,0034-6616,0034-3409,
"Review of Marketing Science","De Gruyter",3506,C,2194-5985,1546-5616,
"Review of Middle East Economics and Finance","De Gruyter ",3801,C,1475-3685,1475-3693,
"Review of Pacific Basin Financial Markets and Policies","World Scientific Publishing",3502,B,0219-0915,1793-6705,http://www.worldscinet.com/rpbfmp/
"Review of Political Economy","Taylor & Francis Online",3801,B,0953-8259,1465-3982,http://www.tandfonline.com/loi/crpe20#.V33r9aKMz3U
"Review of Public Personnel Administration","Sage Publications",3505,B,0734-371X,1552-759X,
"Review of Quantitative Finance and Accounting","Springer International Publishing",3502,B,0924-865X,1573-7179,http://www.springer.com/
"Review of Radical Political Economics","Sage Publications",3801,B,0486-6134,1552-8502,http://rrp.sagepub.com/
"Review of Regional Studies","Southern Regional Science Association",3503,C,1553-0892,0048-749X,
"Review of Social Economy","Taylor & Francis Online",3801,B,0034-6764,1470-1162,
"Review of the Economic Research on Copyright Issues","Society for Economic Research on Copyright Issues",4801,B,1698-1359,1698-1367,
"Review of Urban & Regional Development Studies","Wiley-Blackwell Publishing",3801,B,0917-0553,1467-940X,
"Review of World Economics","Springer International Publishing",3801,B,1610-2878,1610-2886,
"Review on Economic Cycles","The International Association of Economic Cycles",3801,C,1578-8091,,http://www.usc.es/economet/cycles.htm
"Revista de Economia","Universidade Federal do Parana",3803,C,0556-5782,2316-9397,
"Revista Portuguesa de Marketing","IPAM Lab",3506,C,0873-2949,,http://www.rpm.pt/
"Revue d'Etudes Comparatives Est-Ouest: economies et techniques de planification - droit et sciences sociales","Centre national de la recherche scientifique",3801,B,0338-0599,2259-6100,http://www.necplus.eu/action/displayJournal?jid=REC
"Revue de l'OFCE","CAIRN International",3801,C,1265-9576,1777-5647,
"Richmond Journal of Global Law and Business","University of Richmond",4801,C,1933-7000,,http://heinonline.org/
"Rikkyo Economic Review","Economic Society of Rikkyo University",3801,C,0035-5356,,
"Risk Management","Springer International Publishing",3507,C,1460-3799,1743-4637,
"Risk Management and Insurance Review","Wiley-Blackwell Publishing",3502,C,1098-1616,1540-6296,
"Risk, Decision and Policy","Taylor & Francis Online",3599,B,1357-5309,,http://www.tandfonline.com/brdp
Risks,"MDPI ",3502,B,2227-9091,,
"Romanian Economic Business Review","Romanian-American University",3899,C,1842-2497,2344-4843,
"Romanian Journal of Economic Forecasting","Institute for Economic Forecasting (IEF)",3802,C,1582-6163,2537-6071,
"Rutgers Business Law Review","Rutgers University",4801,C,1937-0563,1937-0571,
"Rutgers Business Review","Rutgers Business School",3507,B,2474-2376,2474-6509,
"Rutgers Computer and Technology Law Journal","Rutgers Law School",4801,B,0735-8938,,http://www.heinonline.org/
"Safety Science",Elsevier,3505,A,0925-7535,,
"Scandinavian Actuarial Journal","Taylor & Francis Online",3502,A,0346-1238,1651-2030,http://www.tandfonline.com/sact
"Scandinavian Economic History Review","Taylor & Francis Online",3801,C,0358-5522,1750-2837,
"Scandinavian Journal of Economics","Wiley-Blackwell Publishing",3801,A,0347-0520,1467-9442,
"Scandinavian Journal of Hospitality and Tourism","Taylor & Francis Online",3508,A,1502-2250,1502-2269,
"Scandinavian Journal of Information Systems","University of Aalborg",4609,A,0905-0167,,http://iris.cs.aau.dk/
"Scandinavian Journal of Management",Elsevier,3507,B,0956-5221,1873-3387,http://www.journals.elsevier.com/scandinavian-journal-of-management
"Scandinavian Journal of Statistics","Wiley-Blackwell Publishing",4905,A,,1467-9469,
"Science & Society","S&S Quarterly, Inc.",3801,B,0036-8237,,
"Science and Public Policy","Oxford University Press",3599,C,0302-3427,1471-5430,
"Science Communication","Sage Publications",3503,A,1075-5470,1552-8545,
"Science, Technology & Human Values","Sage Publications",3503,A,0162-2439,1552-8251,
"Science, Technology and Society","Sage Publications",4609,B,0971-7218,0973-0796,
Scientometrics,"Springer International Publishing",3503,A,0138-9130,1588-2861,
"Scottish Journal of Political Economy","Wiley-Blackwell Publishing",3801,A,0036-9292,1467-9485,
"Security Dialogue","Sage Publications",3503,A,0967-0106,1460-3640,http://sdi.sagepub.com/
"Security Studies","Taylor & Francis Online",3503,B,0963-6412,1556-1852,http://www.tandfonline.com/fsst
"Selection and Development Review","British Psychological Society",3505,C,0963-2638,0963-2638,http://www.psychpress.com.au/Psychometric/products/personality/15fq+review.pdf
"Seoul Journal of Business","Seoul National University",3507,C,1226-9816,1226-9816,
"SERIEs: Journal of the Spanish Economic Association","Springer International Publishing",3801,B,1869-4187,1869-4195,
"Service Business","Springer International Publishing",3506,B,1862-8516,1862-8508,
"Service Industries Journal","Taylor & Francis Online",3506,B,0264-2069,1743-9507,
"Service Science",INFORMS,3507,B,2164-3970,,
"Services Marketing Quarterly","Taylor & Francis Online",3506,B,1533-2969,1533-2977,
"Sex Roles","Springer International Publishing",3507,A,0360-0025,1573-2762,
"SIAM Journal on Applied Mathematics","SIAM Publications Online",3502,A,0036-1399,1095-712X,http://www.siam.org/journals/siap.php
"SIAM Journal on Computing","SIAM Publications Online",4609,C,0097-5397,1095-7111,
"SIAM Journal on Financial Mathematics","Society for Industrial and Applied Mathematics",3502,B,,1945-497X,http://www.siam.org/
"Singapore Academy of Law Journal","Singapore Academy of Law",4801,C,0218-2009,,http://search.informit.com.au/browseJournalTitle;res=IELHSS;issn=0218-2009
"Singapore Economic Review","World Scientific Publishing",3801,B,0217-5908,1793-6837,http://www.worldscinet.com/ser/
"Singapore Journal of Legal Studies","National University of Singapore",4801,A,0218-2173,,http://search.informit.com.au/browseJournalTitle;res=IELHSS;issn=0218-2173
"Small Business Economics","Springer International Publishing",3507,A,0921-898X,1573-0913,
"Small Enterprise Research","Taylor & Francis Online",3507,C,1321-5906,1175-0979,
"Small Group Research","Sage Publications",3507,A,1046-4964,1552-8278,
"Smart and Sustainable Built Environment","Emerald Group Publishing Ltd",3504,C,2046-6099,2046-6102,
"Soccer & Society","Taylor & Francis Online",3504,C,1466-0970,1743-9590,
"Social and Economic Studies","Sir Arthur Lewis Institute of Social and Economic Studies, The University of the West Indies",3801,C,0037-7651,,https://www.mona.uwi.edu/ses/
"Social and Environmental Accountability Journal","Taylor & Francis Online",3501,B,0969-160X,2156-2245,
"Social Business: An Interdisiplinary Journal","Westburn Publishers Ltd",3599,B,2044-4087,2044-9860,www.socialbusinessperiodical.com
"Social Choice and Welfare","Springer International Publishing",3801,A,0176-1714,1432-217X,http://www.springerlink.com/
"Social Enterprise Journal","Emerald Group Publishing",3507,C,1750-8614,1750-8533,http://www.emeraldinsight.com/
"Social Forces","Oxford University Press",3507,A,0037-7732,1534-7605,
"Social Indicators Research","Springer International Publishing",3503,A,0303-8300,1573-0921,http://springerlink.metapress.com/openurl.asp?genre=journal&issn=0303-8300
"Social Justice Research","Springer International Publishing",3503,B,0885-7466,1573-6725,
"Social Marketing Quarterly","Sage Publications",3506,B,1524-5004,1539-4093,
"Social Policy & Administration","Wiley-Blackwell Publishing",3503,A,0144-5596,1467-9515,
"Social Problems","Oxford University Press",3507,A,0037-7791,1533-8533,http://www.ucpressjournals.com/journal.asp?j=sp
"Social Psychological and Personality Science","Sage Publications",3507,B,1948-5506,1948-5514,http://spp.sagepub.com/
"Social Responsibility Journal","Emerald Group Publishing",3501,B,1747-1117,1758-857X,
"Social Science Information","Sage Publications",3507,C,0539-0184,1461-7412,
"Social Science Japan Journal","Oxford University Press",3503,C,1369-1465,1468-2680,
"Social Science Quarterly","Wiley-Blackwell Publishing",3503,B,0038-4941,1540-6237,
"Social Service Review","The University of Chicago Press",3507,B,0037-7961,1537-5404,http://www.journals.uchicago.edu/toc/ssr/current
"Society and Business Review","Emerald Group Publishing",3507,B,1746-5680,1746-5699,http://www.emeraldinsight.com/loi/sbr
"Society and Economy in Central and Eastern Europe","Akademiai Kiado",3801,C,1588-9726,1588-970X,
"Socio-Economic Planning Sciences",Elsevier,3899,C,0038-0121,1873-6041,
"Socio-Economic Review","Oxford University Press",3503,A,1475-1461,1475-147X,http://ser.oxfordjournals.org/
"SocioEconomic Challenges","Sumy State University",3801,C,2520-6621,2520-6214,
"Sociological Inquiry","Wiley-Blackwell Publishing",3507,A,,1475-682X,
"Sociological Methodology","Sage Publications",3507,A,0081-1750,1467-9531,http://smx.sagepub.com/
"Sociological Methods & Research","Sage Publications",3507,A,0049-1241,1552-8294,
"Sociological Theory","American Sociological Association",3507,A,0736-2751,1467-9558,http://www.asanet.org/research-and-publications/journals/sociological-theory
"Sociologie du Travail",Elsevier,3505,B,0038-0296,1777-5701,http://www.journals.elsevier.com/sociologie-du-travail/
Sociology,"Sage Publications",3507,A*,0038-0385,1469-8684,http://soc.sagepub.com/
"Sociology of Sport Journal","Human Kinetics Publishers, Inc.",3504,A,0741-1235,1543-2785,http://hk.humankinetics.com/
"South African Journal of Accounting Research","Routledge ",3501,C,1029-1954,2376-3981,
"South African Journal of Business Management","University of Stellenbosch",3507,C,2078-5585,,
"South African Journal of Economic and Management Sciences",AOSIS,3801,C,1015-8812,2222-3436,
"South African Journal of Economics","Wiley-Blackwell Publishing",3801,B,0038-2280,1813-6982,
"South African Statistical Journal","South African Statiscal Association",3502,B,0038-271X,,
"South Asia Economic Journal","Sage Publications",3801,C,1391-5614,0973-077X,
"South Asian Journal of Business Studies","Emerald Group Publishing",3507,C,2398-628X,2398-6298,
"South Asian Journal of Human Resources Management","Sage Publications",3505,C,2322-0937,,
"South Asian Journal of Macroeconomics and Public Finance","Sage Publishing",3801,C,2277-9787,2321-0273,
"South Asian Journal of Management","Association of Management Development Institutions in South Asia (AMDISA)",3507,C,0971-5428,,
"South Carolina Journal of International Law and Business","University of South Carolina",4801,C,1936-4334,,http://heinonline.org/
"Southern Business and Economic Journal","Auburn Montgomery College of Business",3801,C,0735-2476,,http://www.business.aum.edu/about/southern-business-economic-journal
"Southern Economic Journal","Wiley-Blackwell Publishing",3801,A,0038-4038,2325-8012,
"Spanish Accounting Review / Revista de Contabilidad",Elsevier,3501,B,1138-4891,1988-4672,
"Spanish Economic Review","Springer International Publishing",3801,B,1435-5469,1435-5477,http://www.springerlink.com/
"Spanish Journal of Finance and Accounting","Taylor & Francis Online",3501,B,0210-2412,2332-0753,
"Spanish Journal of Marketing – ESIC","Emerald Group Publishing",3506,B,2444-9709,2444-9709,
"Spanish Review of Financial Economics",AEFIN,3502,C,2173-1268,,
"Spatial Economic Analysis","Taylor & Francis Online",3801,B,1742-1772,1742-1780,http://www.tandfonline.com/toc/rsea20/
